"filename", "language", "TypeScript React", "TypeScript", "JSON", "XML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/faraj_shuaib/projects/sahaba/front/src/components/RequireAuth.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/faraj_shuaib/projects/sahaba/front/src/components/SectionGridAuthorBox/SectionGridAuthorBox.tsx", "TypeScript React", 117, 0, 0, 0, 0, 0, 0, 10, 127
"/Users/faraj_shuaib/projects/sahaba/front/src/components/SectionGridAuthorBox/SortOrderFilter.tsx", "TypeScript React", 113, 0, 0, 0, 0, 0, 0, 5, 118
"/Users/faraj_shuaib/projects/sahaba/front/src/components/SectionSliderCategories/SectionSliderCategories.tsx", "TypeScript React", 83, 0, 0, 0, 0, 0, 1, 9, 93
"/Users/faraj_shuaib/projects/sahaba/front/src/components/SectionSliderCollections.tsx", "TypeScript React", 130, 0, 0, 0, 0, 0, 1, 13, 144
"/Users/faraj_shuaib/projects/sahaba/front/src/components/ServerError.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/faraj_shuaib/projects/sahaba/front/src/components/TabFilters.tsx", "TypeScript React", 608, 0, 0, 0, 0, 0, 15, 26, 649
"/Users/faraj_shuaib/projects/sahaba/front/src/components/VerifyAccount.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/faraj_shuaib/projects/sahaba/front/src/components/VerifyIcon.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/faraj_shuaib/projects/sahaba/front/src/constant/index.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 2, 10, 75
"/Users/faraj_shuaib/projects/sahaba/front/src/contracts/abi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/faraj_shuaib/projects/sahaba/front/src/contracts/coin_abi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/faraj_shuaib/projects/sahaba/front/src/firebase.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 7, 57
"/Users/faraj_shuaib/projects/sahaba/front/src/global.d.ts", "TypeScript", 0, 198, 0, 0, 0, 0, 2, 21, 221
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useApi.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 11, 47
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useContract.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 6, 45
"/Users/faraj_shuaib/projects/sahaba/front/src/hooks/useCountDownTime.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 9, 41
